,City,Country,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
58,Fortuna,US,1,55,40.6,-124.16,71.01,13.87
59,Jiuquan,CN,85,27,39.74,98.52,59.09,2.55
60,Hastings,GB,90,87,50.86,0.57,53.01,2.24
61,Qaanaaq,GL,0,86,77.48,-69.36,32.83,0.58
62,Hobart,AU,75,61,-42.88,147.33,48.2,6.93
63,Vuktyl,RU,5,60,63.86,57.31,68.11,9.75
64,Khovd,MN,50,64,48.01,91.64,50.34,3.11
65,Rawson,AR,75,39,-43.3,-65.1,57.31,34.72
66,Inta,RU,27,53,66.03,60.17,69.69,17.98
67,Albany,US,32,55,42.6,-73.97,87.01,5.73
68,Morón,AR,21,95,-34.65,-58.62,57.99,2.8
69,Iquique,CL,90,72,-20.22,-70.14,64.4,9.17
70,Bilibino,RU,100,28,68.05,166.44,65.28,13.38
71,Hithadhoo,MV,100,70,-0.6,73.08,83.52,6.4
72,Nikolskoye,RU,40,88,59.7,30.79,63.0,4.5
73,Kaitangata,NZ,25,58,-46.28,169.85,51.01,1.01
74,Dikson,RU,100,100,73.51,80.55,34.52,10.4
75,Omboué,GA,94,87,-1.57,9.26,74.08,7.02
76,Broome,US,1,39,42.25,-75.83,88.0,3.36
77,Yellowknife,CA,90,65,62.46,-114.35,46.4,6.93
78,Sharjah city,AE,0,62,25.36,55.4,93.2,4.03
79,Sitka,US,75,41,57.05,-135.33,60.8,11.41
80,Gornopravdinsk,RU,89,62,60.05,69.9,63.52,3.76
81,Iwanai,JP,100,56,42.97,140.51,68.68,3.18
82,Leonidovo,RU,100,87,49.28,142.87,60.06,0.72
83,São João da Barra,BR,0,78,-21.64,-41.05,75.2,13.87
84,Port Blair,IN,100,78,11.67,92.75,82.18,18.12
85,Estelle,US,75,79,29.85,-90.11,90.0,17.22
86,Wasilla,US,90,93,61.58,-149.44,52.0,4.7
87,Hong Kong,HK,95,74,22.29,114.16,84.0,8.01
88,Bolobo,CD,52,90,-2.17,16.23,72.9,3.69
89,Yuzhno-Kurilsk,RU,98,83,44.03,145.86,53.38,7.83
90,Sept-Îles,CA,75,40,50.2,-66.38,53.6,10.29
91,Klaksvík,FO,100,93,62.23,-6.59,48.2,16.11
92,Yulara,AU,0,55,-25.24,130.99,37.4,9.17
93,Saint-Philippe,RE,35,63,-21.36,55.77,68.0,9.17
94,Lázaro Cárdenas,MX,40,70,17.96,-102.2,82.29,12.64
95,Ciudad Bolivar,VE,79,48,8.12,-63.55,91.09,2.04
96,Indianola,US,90,94,41.36,-93.56,71.01,9.17
97,Río Gallegos,AR,40,74,-51.62,-69.22,37.4,20.8
98,Chiredzi,ZW,15,73,-21.05,31.67,59.59,0.98
99,Pandan,PH,99,81,14.05,124.17,81.79,4.38
100,Bathsheba,BB,75,70,13.22,-59.52,84.2,12.75
101,Rousse,BG,100,80,43.86,25.97,72.0,2.01
102,Richards Bay,ZA,0,71,-28.78,32.04,68.14,15.52
103,India,IN,52,62,20.0,77.0,83.75,11.65
104,Vardø,NO,75,75,70.37,31.11,41.0,3.36
105,Airai,TL,82,99,-8.93,125.41,56.08,3.8
106,Bambous Virieux,MU,40,83,-20.34,57.76,70.0,14.99
107,Port Augusta,AU,0,100,-32.5,137.77,30.2,5.82
108,San Cristobal,VE,40,36,7.77,-72.22,93.2,23.04
109,Wenling,CN,100,99,28.37,121.36,78.01,8.66
110,Coquimbo,CL,8,72,-29.95,-71.34,59.0,10.29
111,Vila,PT,98,72,42.03,-8.16,62.01,11.41
112,Burnie,AU,100,79,-41.07,145.92,46.99,5.99
113,Torbay,CA,75,70,47.67,-52.73,46.4,9.17
114,Maneromango,TZ,20,94,-7.2,38.78,73.4,3.6
115,Mahajanga,MG,49,72,-15.72,46.32,68.0,4.7
116,Wanning,CN,98,89,18.8,110.4,80.76,10.29
117,Lebu,CL,88,76,-37.62,-73.65,52.09,12.8
118,Abu Dhabi,AE,0,89,24.47,54.37,91.4,4.7
119,Vestmanna,FO,100,93,62.16,-7.17,48.2,16.11
120,Vila Franca do Campo,PT,20,72,37.72,-25.43,64.4,9.17
121,Pevek,RU,100,54,69.7,170.31,48.81,12.06
122,Cidreira,BR,92,86,-30.18,-50.21,61.02,4.74
123,Tsiroanomandidy,MG,0,79,-18.77,46.03,55.29,3.62
124,Sinnamary,GF,98,84,5.38,-52.95,77.86,5.21
125,Katsuura,JP,75,65,35.13,140.3,77.0,16.11
126,Chernyshevskiy,RU,59,57,63.01,112.47,47.57,11.07
127,Sand Springs,US,1,27,36.14,-96.11,91.4,12.75
128,Mossamedes,AO,58,81,-15.2,12.15,65.62,9.26
129,Dangtu,CN,90,94,31.57,118.49,79.0,6.71
130,Likasi,CD,0,64,-10.98,26.73,55.51,3.49
131,Itacoatiara,BR,32,84,-3.14,-58.44,78.39,1.72
132,Port Elizabeth,ZA,43,27,-33.92,25.57,75.2,11.41
133,San Patricio,MX,5,74,19.22,-104.7,82.4,11.41
134,Vostok,RU,100,95,46.49,135.88,61.61,5.79
135,Dembī Dolo,ET,67,96,8.53,34.8,57.18,2.21
136,Ponta do Sol,PT,40,63,32.67,-17.1,66.2,9.17
137,Hermanus,ZA,0,86,-34.42,19.23,57.99,10.0
138,Tuatapere,NZ,33,89,-46.13,167.68,51.01,11.01
139,Pitimbu,BR,75,94,-7.47,-34.81,77.0,4.7
140,Baker City,US,90,52,44.77,-117.83,64.4,3.36
141,Hasaki,JP,75,88,35.73,140.83,75.99,6.93
142,Santo Domingo,DO,40,55,18.5,-69.99,89.6,9.17
143,Emirdağ,TR,35,41,39.02,31.15,67.78,6.4
144,Loughrea,IE,75,93,53.2,-8.57,53.6,8.05
145,Manzhouli,CN,71,50,49.6,117.43,59.4,2.86
146,Kampong Thom,KH,92,92,12.71,104.89,77.77,3.2
147,Morant Bay,JM,75,88,17.88,-76.41,86.0,16.11
148,Berlevåg,NO,88,67,70.86,29.09,42.03,14.41
149,Cartagena del Chairá,CO,23,78,1.33,-74.84,82.76,1.83
150,Dingle,PH,99,83,11.0,122.67,78.62,2.82
151,Yar-Sale,RU,100,74,66.83,70.83,59.58,14.23
152,Arrondissement de Pontarlier,FR,100,91,46.83,6.25,50.0,5.01
153,Colesberg,ZA,17,45,-30.72,25.1,52.14,10.47
154,Geraldton,AU,100,54,-28.77,114.6,53.6,14.99
155,Bjelovar,HR,100,87,45.9,16.85,57.99,3.36
156,Beringovskiy,RU,44,59,63.05,179.32,48.27,3.42
157,Nouadhibou,MR,0,51,20.93,-17.03,84.2,20.8
158,Chokurdakh,RU,100,76,70.63,147.92,38.62,12.26
159,Norman Wells,CA,75,51,65.28,-126.83,60.8,19.46
160,Mount Gambier,AU,36,90,-37.83,140.77,32.0,9.17
161,Petropavl,KZ,9,70,54.88,69.16,64.29,4.56
162,Samarai,PG,100,94,-10.62,150.67,77.29,13.24
163,Philadelphia,US,1,40,39.95,-75.16,90.0,14.99
164,Anicuns,BR,0,67,-16.46,-49.96,69.3,1.5
165,Atar,MR,65,61,20.52,-13.05,82.49,17.4
166,Terney,RU,100,88,45.05,136.61,63.81,3.89
167,Laguna,US,1,14,38.42,-121.42,91.99,9.17
168,Taoudenni,ML,70,23,22.68,-3.98,96.93,12.48
169,Toora-Khem,RU,100,91,52.47,96.11,36.97,1.97
170,Basco,PH,74,79,20.45,121.97,84.11,11.92
171,Nioro,GM,46,62,13.35,-15.75,82.6,11.39
172,Wick,GB,100,93,58.43,-3.08,50.0,2.24
173,Mar del Plata,AR,0,57,-38.0,-57.56,54.0,2.24
174,Fare,PF,17,76,-16.7,-151.02,79.41,16.6
175,Kruisfontein,ZA,69,51,-34.0,24.73,61.99,7.45
176,Pobé,BJ,94,95,6.98,2.66,73.35,4.92
177,Sawākin,SD,0,33,19.11,37.33,89.51,5.23
178,Noumea,NC,49,78,-22.28,166.46,73.99,4.7
179,Thompson,CA,90,93,55.74,-97.86,51.8,10.29
180,Buta,CD,52,89,2.79,24.73,70.74,0.34
181,Hay River,CA,90,93,60.82,-115.8,41.0,4.7
182,Stykkisholmur,IS,100,88,65.08,-22.73,43.61,1.01
183,Hailar,CN,100,51,49.2,119.7,56.84,5.86
184,Garoowe,SO,0,47,8.41,48.48,85.12,15.32
185,Touros,BR,75,88,-5.2,-35.46,78.8,5.82
186,Ningbo,CN,75,88,29.88,121.55,77.0,4.47
187,Naryan-Mar,RU,100,85,67.67,53.09,54.68,13.76
188,Arraial do Cabo,BR,40,88,-22.97,-42.03,73.4,9.17
189,Leningradskiy,RU,52,41,69.38,178.42,60.85,8.52
190,Nan,TH,99,95,18.83,100.67,72.99,0.67
191,De-Kastri,RU,100,88,51.47,140.78,56.79,2.98
192,Narsaq,GL,90,35,60.92,-46.05,57.2,25.28
193,Saint Paul Harbor,US,90,81,57.79,-152.41,48.2,1.86
194,Lodja,CD,0,60,-3.48,23.43,74.28,1.28
195,Asău,RO,24,82,46.43,26.4,61.0,3.31
196,Izvestkovyy,RU,1,49,48.98,131.55,63.95,9.08
197,Caribou,US,1,24,46.86,-68.01,66.2,9.17
198,Shache,CN,25,36,38.42,77.24,64.06,3.29
199,Clyde River,CA,75,91,70.47,-68.59,35.6,17.22
200,Rabaul,PG,62,76,-4.2,152.17,80.85,3.83
201,Sydney,AU,75,100,-33.87,151.21,57.99,5.82
202,San Francisco,US,1,30,37.77,-122.42,82.4,16.11
203,Langsa,ID,100,94,4.47,97.97,76.51,1.97
204,Shingū,JP,100,94,33.73,135.98,66.88,3.33
205,San Angelo,US,1,6,31.46,-100.44,95.0,13.87
206,Kul'dur,RU,0,50,49.22,131.63,62.8,10.36
207,Kholm-Zhirkovskiy,RU,32,93,55.52,33.47,63.86,5.12
208,Avarua,CK,62,69,-21.21,-159.78,78.8,14.99
209,Tiksi,RU,98,93,71.69,128.87,30.25,10.33
210,Progreso,MX,75,53,21.28,-89.67,99.0,12.75
211,Wakkanai,JP,100,91,45.41,141.67,56.57,24.4
212,Saskylakh,RU,4,69,71.92,114.08,40.23,6.04
213,Carnarvon,AU,0,43,-24.87,113.63,67.59,6.35
214,Hobyo,SO,0,69,5.35,48.53,80.2,23.49
215,Lompoc,US,1,39,34.64,-120.46,84.0,17.22
216,Thinadhoo,MV,99,75,0.53,72.93,83.52,9.33
217,Upernavik,GL,86,91,72.79,-56.15,33.53,5.66
218,Tuku,TW,100,88,23.68,120.39,82.0,4.59
219,Hamilton,US,20,74,39.18,-84.53,84.99,11.41
220,Kayerkan,RU,75,81,69.35,87.76,42.8,11.18
221,Esna,EG,0,14,25.29,32.55,85.55,13.29
222,Margate,GB,20,74,51.38,1.39,52.0,5.75
223,Nome,US,20,49,64.5,-165.41,48.99,6.93
224,Cabo San Lucas,MX,5,54,22.89,-109.91,80.01,11.41
225,Leh,IN,0,47,34.17,77.58,49.87,5.48
226,Mahébourg,MU,40,83,-20.41,57.7,69.8,14.99
227,Kosonsoy,UZ,13,49,41.26,71.55,69.8,9.17
228,High Level,CA,75,71,58.52,-117.14,53.6,4.7
229,Souillac,MU,40,83,-20.52,57.52,69.8,14.99
230,Concordia,AR,40,77,-31.39,-58.02,63.0,8.05
231,Cayenne,GF,11,74,4.93,-52.33,82.4,4.7
232,Itarema,BR,56,83,-2.92,-39.92,78.48,9.48
233,Oranjemund,NA,0,89,-28.55,16.43,57.96,14.92
234,Ballitoville,ZA,0,93,-29.54,31.21,51.8,2.24
235,Rio Grande,BR,49,91,-32.03,-52.1,55.0,5.5
236,Chukhloma,RU,55,91,58.75,42.68,59.65,4.56
237,Valle de Allende,MX,16,19,26.93,-105.4,87.66,8.57
238,Phaltan,IN,39,72,17.98,74.43,77.79,7.02
239,Harriston,CA,1,43,43.9,-80.88,87.8,10.29
240,Tahoua,NE,0,55,14.89,5.27,86.0,13.87
241,Seville,ES,10,63,37.38,-5.98,71.6,3.36
242,Chui,UY,100,89,-33.7,-53.46,54.59,1.92
243,Bongandanga,CD,92,94,1.5,21.05,71.58,2.84
244,Severo-Kuril'sk,RU,72,72,50.68,156.12,47.98,8.5
245,Los Llanos de Aridane,ES,75,78,28.66,-17.92,71.6,9.17
246,Divnogorsk,RU,40,100,55.96,92.36,41.0,6.71
247,Castro,BR,84,95,-24.79,-50.01,62.73,6.4
248,Mosetse,BW,0,50,-20.75,26.65,53.47,10.58
249,Aklavik,CA,90,81,68.22,-135.01,44.6,10.29
250,Eirunepé,BR,81,73,-6.66,-69.87,83.1,1.23
251,Mount Isa,AU,0,71,-20.73,139.5,53.6,3.36
252,Marawi,PH,97,84,8.0,124.29,77.0,4.0
253,Longyearbyen,SJ,75,74,78.22,15.64,37.4,9.17
254,Sioux Lookout,CA,75,82,50.1,-91.92,66.2,2.24
255,Lakhdenpokh'ya,RU,96,94,61.52,30.2,56.93,6.02
256,Mashhad,IR,0,28,36.3,59.61,68.0,4.7
257,Seddon,AU,98,87,-37.81,144.89,46.4,10.29
258,Inuvik,CA,90,71,68.35,-133.72,50.0,9.17
259,Américo Brasiliense,BR,80,90,-21.72,-48.1,66.04,2.98
260,Ixtapa,MX,5,69,20.7,-105.2,82.4,14.99
261,Halachó,MX,75,53,20.48,-90.08,99.0,12.75
262,Buala,SB,78,75,-8.14,159.59,84.16,7.65
263,Faya,SA,40,43,18.39,42.45,73.4,6.26
264,Sibolga,ID,77,75,1.74,98.78,77.56,3.62
265,Chimbote,PE,22,74,-9.09,-78.58,66.83,8.57
266,São Filipe,CV,21,86,14.9,-24.5,74.55,7.11
267,Puerto Ayacucho,VE,75,78,5.66,-67.62,80.6,8.05
268,Polovinnoye,RU,22,61,54.79,65.99,64.89,4.76
269,Esperance,AU,34,57,-33.87,121.9,50.0,12.75
270,Arrondissement du Havre,FR,48,81,49.58,0.33,51.8,3.36
271,Kingaroy,AU,90,100,-26.53,151.83,55.99,5.82
272,Villamontes,BO,90,57,-21.25,-63.5,77.0,1.39
273,Talaya,RU,100,79,61.38,152.75,48.31,7.09
274,Nishihara,JP,75,94,26.18,127.76,77.0,10.29
275,Rutul,RU,0,46,41.54,47.42,73.4,11.41
276,Arica,CL,75,77,-18.48,-70.3,66.2,9.17
277,Lagoa,PT,100,83,39.05,-27.98,63.63,7.05
278,Lüderitz,NA,26,91,-26.65,15.16,58.05,9.46
279,Mollendo,PE,66,75,-17.02,-72.01,64.13,5.46
280,Petropavlovsk-Kamchatskiy,RU,82,66,53.05,158.65,51.8,6.71
281,Eureka,US,71,48,40.8,-124.16,72.0,5.01
282,Bodden Town,KY,40,66,19.28,-81.25,87.8,4.7
283,Alekseyevsk,RU,100,92,57.84,108.35,49.6,3.31
284,Parabel',RU,100,59,58.7,81.48,53.02,6.22
285,Comodoro Rivadavia,AR,12,41,-45.87,-67.5,57.2,31.09
286,Paracuru,BR,4,77,-3.41,-39.03,79.0,1.99
287,Normandin,CA,20,22,48.83,-72.53,69.8,4.7
288,Pisco,PE,90,72,-13.7,-76.22,66.2,4.7
289,Roebourne,AU,0,53,-20.78,117.13,69.66,8.08
290,Morristown,US,20,51,36.21,-83.29,86.0,10.29
291,Paphos,CY,0,88,34.77,32.42,66.2,5.82
292,Biltine,TD,23,24,14.53,20.92,85.55,3.09
293,Tomatlán,MX,4,58,19.93,-105.25,86.41,11.34
294,Can Tho,VN,40,100,10.03,105.78,78.8,3.36
295,Kīhei,US,20,52,20.79,-156.47,87.8,24.16
296,Chumikan,RU,100,97,54.72,135.31,37.62,8.1
297,Portland,US,90,82,45.52,-122.68,62.01,10.29
298,Cap Malheureux,MU,3,78,-19.98,57.61,70.0,5.99
299,Port Macquarie,AU,75,100,-31.43,152.92,60.8,4.7
300,Arman',RU,100,77,59.7,150.17,48.25,1.83
301,Finschhafen,PG,89,66,-6.6,147.87,81.84,6.22
302,Grand-Santi,GF,98,86,4.25,-54.38,77.11,3.62
303,Cabedelo,BR,75,94,-6.98,-34.83,77.0,4.7
304,Kalispell,US,90,47,48.2,-114.31,59.0,11.41
305,Panórama,GR,20,88,40.59,23.03,73.0,5.82
306,Presidencia Roque Sáenz Peña,AR,83,80,-26.79,-60.44,71.01,1.99
307,Ilulissat,GL,75,74,69.22,-51.1,37.4,5.82
308,Salinópolis,BR,93,81,-0.61,-47.36,80.02,8.3
309,Bonthe,SL,81,85,7.53,-12.51,79.03,6.96
310,Puerto Escondido,MX,75,74,15.85,-97.07,87.8,10.29
311,Sørland,NO,0,74,67.67,12.69,45.27,9.8
312,Midland,US,1,6,32.0,-102.08,89.6,16.11
313,Ponta Delgada,PT,20,77,37.73,-25.67,62.6,9.17
314,Santa Barbara,US,1,10,34.42,-119.7,91.99,9.17
315,Zhigalovo,RU,92,63,54.81,105.16,50.52,2.08
316,San Rafael,AR,0,36,-34.62,-68.33,56.14,3.2
317,Port Keats,AU,79,56,-14.25,129.55,67.73,8.93
318,East London,ZA,0,30,-33.02,27.91,76.44,13.67
319,Sobolevo,RU,64,88,54.43,31.9,65.12,5.06
320,Kamaishi,JP,85,54,39.27,141.88,71.58,2.33
321,Răducăneni,RO,15,77,46.95,27.93,68.0,5.82
322,Ahipara,NZ,22,74,-35.17,173.17,58.96,11.07
323,Emerald,AU,61,57,-23.53,148.17,51.8,6.93
324,Mattru,SL,94,96,7.62,-11.83,75.04,2.48
325,Fairbanks,US,1,49,64.84,-147.72,73.0,3.36
326,Dalbandin,PK,0,15,28.89,64.41,83.59,8.32
327,Bengkulu,ID,1,85,-3.8,102.27,75.63,3.47
328,Dhadar,IN,2,29,28.33,75.06,95.32,8.12
329,Chara,RU,64,57,56.91,118.26,50.11,7.18
330,Kholmogory,RU,75,100,64.22,41.66,57.2,3.62
331,Daitari,IN,58,85,21.1,85.75,79.2,1.12
332,Vila Velha,BR,2,88,-20.33,-40.29,73.99,3.36
333,Dunedin,NZ,18,61,-45.87,170.5,52.0,3.0
334,Iqaluit,CA,90,74,63.75,-68.51,35.6,17.22
335,Trincomalee,LK,100,76,8.57,81.23,82.69,19.95
336,Lima Duarte,BR,2,86,-21.84,-43.79,64.31,2.57
337,Angoche,MZ,41,80,-16.23,39.91,70.83,2.17
338,Puksoozero,RU,95,98,62.59,40.61,62.73,3.29
339,Chicama,PE,54,68,-7.84,-79.15,69.08,8.05
340,Laas,IT,75,93,46.62,10.7,52.0,2.33
341,Rocha,UY,100,87,-34.48,-54.33,51.75,3.89
342,Belmonte,BR,20,83,-15.86,-38.88,75.2,6.93
343,Umeå,SE,1,87,63.83,20.26,48.0,2.24
344,Cananéia,BR,98,92,-25.01,-47.93,71.58,2.21
345,Taguatinga,BR,0,53,-12.39,-46.57,76.55,4.9
346,Kuching,MY,40,100,1.55,110.33,75.2,2.24
347,Kumluca,TR,0,48,36.37,30.29,73.58,2.73
348,São Borja,BR,98,95,-28.66,-56.0,61.83,10.36
349,Port Shepstone,ZA,0,51,-30.74,30.45,63.3,7.09
350,Felanitx,ES,0,77,39.47,3.15,62.01,6.06
351,Kyra,RU,87,81,49.58,111.98,47.08,5.7
352,Vanavara,RU,100,89,60.34,102.28,47.61,2.53
353,Sabang,ID,100,74,5.89,95.32,83.17,10.29
354,Griffith,US,90,74,41.53,-87.42,82.99,20.6
355,Lata,PT,83,86,40.16,-8.33,60.01,1.99
356,Nyurba,RU,77,88,63.28,118.33,53.19,9.82
357,Lacaron,PH,100,73,6.45,125.58,79.52,4.83
358,Saint-François,FR,75,71,46.42,3.91,57.2,6.93
359,São José de Ribamar,BR,40,83,-2.56,-44.05,80.6,3.36
360,Dawlatabad,AF,0,20,36.41,64.91,73.99,4.14
361,Santoña,ES,20,82,43.44,-3.46,59.0,5.82
362,Djibo,BF,84,31,14.1,-1.63,93.27,10.65
363,Baní,DO,40,55,18.28,-70.33,89.6,9.17
364,Avera,US,40,74,33.19,-82.53,89.6,9.17
365,Ossora,RU,5,74,59.24,163.07,46.4,13.24
366,Marabu,MY,75,88,4.41,114.01,80.6,3.36
367,Nadym,RU,92,77,65.53,72.52,60.62,11.65
368,Monrovia,LR,99,86,6.3,-10.8,79.27,8.41
369,Agidel,RU,75,76,55.91,53.94,60.91,4.72
370,Vao,NC,16,78,-22.67,167.48,72.39,25.3
371,Egvekinot,RU,10,51,66.32,-179.17,54.68,3.09
372,Nyborg,DK,1,76,55.31,10.79,57.0,3.36
373,Krasnosel'kup,RU,82,90,65.7,82.47,49.91,6.08
374,Kiryat Gat,IL,26,81,31.61,34.76,71.01,2.1
375,Salalah,OM,75,94,17.02,54.09,84.2,8.05
376,Chute-aux-Outardes,CA,20,33,49.12,-68.4,59.0,8.05
377,São Gonçalo do Sapucaí,BR,22,84,-21.89,-45.6,64.17,1.25
378,Tromsø,NO,40,72,69.65,18.96,44.6,6.93
379,General Roca,AR,48,26,-39.03,-67.58,57.2,13.87
380,Dubna,RU,73,95,56.73,37.17,63.16,5.23
381,San Quintín,MX,0,32,30.48,-115.95,77.59,11.5
382,Bharatpur,IN,12,22,27.22,77.48,94.77,5.37
383,Jinxiang,CN,100,90,22.86,115.7,79.9,5.73
384,Port-Cartier,CA,75,40,50.03,-66.87,53.6,10.29
385,Bronkhorstspruit,ZA,0,65,-25.81,28.74,48.99,1.12
386,Praia da Vitória,PT,40,77,38.73,-27.07,66.2,6.29
387,Sistranda,NO,0,76,63.73,8.83,51.8,4.7
388,Teknāf,BD,92,85,20.86,92.31,81.27,12.88
389,Zvishavane,ZW,0,89,-20.33,30.07,52.72,2.13
390,Lorengau,PG,80,77,-2.02,147.27,83.61,7.94
391,Zhangjiakou Shi Xuanhua Qu,CN,75,66,40.61,115.04,64.83,1.28
392,Rosetta,EG,53,69,31.4,30.42,73.4,2.24
393,Kaeo,NZ,7,3,-35.1,173.78,55.99,3.0
394,Gizo Government Station,SB,100,70,-8.1,156.84,84.25,6.17
395,Saint Anthony,US,90,88,45.02,-93.22,75.99,4.7
396,Dekar,BW,0,37,-21.53,21.93,57.11,6.26
397,Russell,US,20,62,32.35,-85.2,86.0,9.17
398,Gao,ML,47,15,16.64,1.64,101.17,9.53
399,Carman,CA,90,67,49.5,-98.0,61.0,12.75
400,Nampula,MZ,2,99,-15.12,39.27,60.91,1.45
401,Manakara,MG,11,86,-22.13,48.02,65.52,3.4
402,Winnemucca,US,1,15,40.97,-117.74,78.8,8.05
403,Dover,US,1,48,39.16,-75.52,88.0,8.05
404,Constitución,CL,0,71,-35.33,-72.42,50.94,4.85
405,Munxar,MT,7,68,36.03,14.23,69.01,11.41
406,Deputatsky,RU,100,79,69.3,139.9,37.42,5.17
407,Mórrope,PE,97,56,-6.54,-80.01,73.4,18.34
408,Pringsewu,ID,14,93,-5.36,104.97,72.59,1.5
409,Novy Urengoy,RU,62,69,66.08,76.63,54.18,7.87
410,Umluj,SA,0,38,25.02,37.27,86.83,8.59
411,Porto-Novo,BJ,40,83,6.5,2.6,80.6,4.7
412,Pak Phanang,TH,100,82,8.35,100.2,80.62,2.42
413,Kupang,ID,20,78,-10.17,123.58,77.0,10.29
414,Acarí,PE,14,59,-15.43,-74.62,68.99,5.59
415,Weligama,LK,100,87,5.97,80.42,79.99,9.71
416,Morbegno,IT,100,85,46.14,9.57,48.99,1.99
417,Abhā,SA,40,43,18.22,42.51,73.4,8.86
418,Riyadh,SA,43,14,24.69,46.72,95.0,6.93
419,Caceres,ES,99,56,39.52,-6.37,66.0,7.7
420,Mulchén,CL,75,81,-37.72,-72.23,50.0,4.7
421,Sakakah,SA,0,11,29.97,40.21,89.6,3.36
422,Carutapera,BR,51,86,-1.2,-46.02,77.38,4.76
423,Iaçu,BR,45,81,-12.77,-40.21,73.42,3.96
424,Mumford,GH,89,87,5.26,-0.76,78.71,11.61
425,Lewiston,US,75,52,44.1,-70.21,71.01,6.93
426,Klyuchi,RU,21,76,52.27,79.17,55.89,6.13
427,Malibu,US,0,24,34.01,-118.81,93.0,4.0
428,Pavino,RU,0,88,59.11,46.14,57.78,1.95
429,Thohoyandou,ZA,0,64,-22.95,30.48,55.96,1.74
430,Yanam,IN,100,84,16.73,82.22,80.91,1.95
431,Kloulklubed,PW,90,100,7.04,134.26,75.2,6.33
