,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
38,Bethel,1,US,1591740053,40,41.37,-73.41,89.01,8.05
39,Ketchikan,90,US,1591740314,58,55.34,-131.65,59.0,23.04
40,Xining,63,CN,1591740315,61,36.62,101.77,50.31,2.13
41,Korla,100,CN,1591740316,95,41.76,86.15,75.0,4.0
42,Mataura,20,NZ,1591740252,89,-46.19,168.86,51.01,11.01
43,Caravelas,0,BR,1591740318,91,-17.71,-39.25,72.16,4.52
44,Kavaratti,93,IN,1591740319,80,10.57,72.64,84.06,14.32
45,Nanortalik,100,GL,1591740320,67,60.14,-45.24,47.86,17.67
46,Alofi,100,NU,1591740256,70,-19.06,-169.92,79.0,8.28
47,Grindavik,75,IS,1591740323,81,63.84,-22.43,48.2,8.05
48,Cascais,70,PT,1591740324,78,38.7,-9.42,62.01,20.49
49,Alta Floresta,0,BR,1591740325,74,-9.88,-56.09,76.19,3.71
50,Banda Aceh,100,ID,1591740326,73,5.56,95.32,80.2,9.1
51,Dakar,40,SN,1591740306,78,14.69,-17.44,82.4,10.96
52,Kahului,20,US,1591740221,52,20.89,-156.47,87.8,24.16
53,Lao Cai,99,VN,1591740329,76,22.48,103.95,78.87,0.6
54,Necochea,0,AR,1591740298,62,-38.55,-58.74,48.0,5.01
55,Kavieng,100,PG,1591740265,73,-2.57,150.8,84.34,6.98
56,Port Alfred,20,ZA,1591740252,31,-33.59,26.89,78.01,10.0
57,Cape Town,75,ZA,1591740087,87,-33.93,18.42,59.0,16.11
58,Fortuna,1,US,1591740335,55,40.6,-124.16,71.01,13.87
59,Jiuquan,85,CN,1591740336,27,39.74,98.52,59.09,2.55
60,Hastings,90,GB,1591740111,87,50.86,0.57,53.01,2.24
61,Qaanaaq,0,GL,1591740338,86,77.48,-69.36,32.83,0.58
62,Hobart,75,AU,1591740339,61,-42.88,147.33,48.2,6.93
63,Vuktyl,5,RU,1591740341,60,63.86,57.31,68.11,9.75
64,Khovd,50,MN,1591740342,64,48.01,91.64,50.34,3.11
65,Rawson,75,AR,1591740343,39,-43.3,-65.1,57.31,34.72
66,Inta,27,RU,1591740344,53,66.03,60.17,69.69,17.98
67,Albany,32,US,1591740345,55,42.6,-73.97,87.01,5.73
68,Morón,21,AR,1591740085,95,-34.65,-58.62,57.99,2.8
69,Iquique,90,CL,1591740347,72,-20.22,-70.14,64.4,9.17
70,Bilibino,100,RU,1591740348,28,68.05,166.44,65.28,13.38
71,Hithadhoo,100,MV,1591740349,70,-0.6,73.08,83.52,6.4
72,Nikolskoye,40,RU,1591740350,88,59.7,30.79,63.0,4.5
73,Kaitangata,25,NZ,1591740352,58,-46.28,169.85,51.01,1.01
74,Dikson,100,RU,1591740255,100,73.51,80.55,34.52,10.4
75,Omboué,94,GA,1591740354,87,-1.57,9.26,74.08,7.02
76,Broome,1,US,1591740355,39,42.25,-75.83,88.0,3.36
77,Yellowknife,90,CA,1591740087,65,62.46,-114.35,46.4,6.93
78,Sharjah city,0,AE,1591740357,62,25.36,55.4,93.2,4.03
79,Sitka,75,US,1591740358,41,57.05,-135.33,60.8,11.41
80,Gornopravdinsk,89,RU,1591740359,62,60.05,69.9,63.52,3.76
81,Iwanai,100,JP,1591740360,56,42.97,140.51,68.68,3.18
82,Leonidovo,100,RU,1591740362,87,49.28,142.87,60.06,0.72
83,São João da Barra,0,BR,1591740363,78,-21.64,-41.05,75.2,13.87
84,Port Blair,100,IN,1591740364,78,11.67,92.75,82.18,18.12
85,Estelle,75,US,1591740168,79,29.85,-90.11,90.0,17.22
86,Wasilla,90,US,1591740366,93,61.58,-149.44,52.0,4.7
87,Hong Kong,95,HK,1591740284,74,22.29,114.16,84.0,8.01
88,Bolobo,52,CD,1591740266,90,-2.17,16.23,72.9,3.69
89,Yuzhno-Kurilsk,98,RU,1591740369,83,44.03,145.86,53.38,7.83
90,Sept-Îles,75,CA,1591740365,40,50.2,-66.38,53.6,10.29
91,Klaksvík,100,FO,1591740372,93,62.23,-6.59,48.2,16.11
92,Yulara,0,AU,1591740373,55,-25.24,130.99,37.4,9.17
93,Saint-Philippe,35,RE,1591740374,63,-21.36,55.77,68.0,9.17
94,Lázaro Cárdenas,40,MX,1591740375,70,17.96,-102.2,82.29,12.64
95,Ciudad Bolivar,79,VE,1591740376,48,8.12,-63.55,91.09,2.04
96,Indianola,90,US,1591740377,94,41.36,-93.56,71.01,9.17
97,Río Gallegos,40,AR,1591740378,74,-51.62,-69.22,37.4,20.8
98,Chiredzi,15,ZW,1591740379,73,-21.05,31.67,59.59,0.98
99,Pandan,99,PH,1591740380,81,14.05,124.17,81.79,4.38
100,Bathsheba,75,BB,1591740382,70,13.22,-59.52,84.2,12.75
101,Rousse,100,BG,1591740383,80,43.86,25.97,72.0,2.01
102,Richards Bay,0,ZA,1591740384,71,-28.78,32.04,68.14,15.52
103,India,52,IN,1591740385,62,20.0,77.0,83.75,11.65
104,Vardø,75,NO,1591740386,75,70.37,31.11,41.0,3.36
105,Airai,82,TL,1591740387,99,-8.93,125.41,56.08,3.8
106,Bambous Virieux,40,MU,1591740388,83,-20.34,57.76,70.0,14.99
107,Port Augusta,0,AU,1591740389,100,-32.5,137.77,30.2,5.82
108,San Cristobal,40,VE,1591740390,36,7.77,-72.22,93.2,23.04
109,Wenling,100,CN,1591740392,99,28.37,121.36,78.01,8.66
110,Coquimbo,8,CL,1591740393,72,-29.95,-71.34,59.0,10.29
111,Vila,98,PT,1591740394,72,42.03,-8.16,62.01,11.41
112,Burnie,100,AU,1591740395,79,-41.07,145.92,46.99,5.99
113,Torbay,75,CA,1591740313,70,47.67,-52.73,46.4,9.17
114,Maneromango,20,TZ,1591740397,94,-7.2,38.78,73.4,3.6
115,Mahajanga,49,MG,1591740398,72,-15.72,46.32,68.0,4.7
116,Wanning,98,CN,1591740399,89,18.8,110.4,80.76,10.29
117,Lebu,88,CL,1591740400,76,-37.62,-73.65,52.09,12.8
118,Abu Dhabi,0,AE,1591740401,89,24.47,54.37,91.4,4.7
119,Vestmanna,100,FO,1591740403,93,62.16,-7.17,48.2,16.11
120,Vila Franca do Campo,20,PT,1591740404,72,37.72,-25.43,64.4,9.17
121,Pevek,100,RU,1591740260,54,69.7,170.31,48.81,12.06
122,Cidreira,92,BR,1591740406,86,-30.18,-50.21,61.02,4.74
123,Tsiroanomandidy,0,MG,1591740407,79,-18.77,46.03,55.29,3.62
124,Sinnamary,98,GF,1591740408,84,5.38,-52.95,77.86,5.21
125,Katsuura,75,JP,1591740409,65,35.13,140.3,77.0,16.11
126,Chernyshevskiy,59,RU,1591740410,57,63.01,112.47,47.57,11.07
127,Sand Springs,1,US,1591740411,27,36.14,-96.11,91.4,12.75
128,Mossamedes,58,AO,1591740413,81,-15.2,12.15,65.62,9.26
129,Dangtu,90,CN,1591740414,94,31.57,118.49,79.0,6.71
130,Likasi,0,CD,1591740415,64,-10.98,26.73,55.51,3.49
131,Itacoatiara,32,BR,1591740416,84,-3.14,-58.44,78.39,1.72
132,Port Elizabeth,43,ZA,1591740417,27,-33.92,25.57,75.2,11.41
133,San Patricio,5,MX,1591740267,74,19.22,-104.7,82.4,11.41
134,Vostok,100,RU,1591740419,95,46.49,135.88,61.61,5.79
135,Dembī Dolo,67,ET,1591740420,96,8.53,34.8,57.18,2.21
136,Ponta do Sol,40,PT,1591740422,63,32.67,-17.1,66.2,9.17
137,Hermanus,0,ZA,1591740423,86,-34.42,19.23,57.99,10.0
138,Tuatapere,33,NZ,1591740424,89,-46.13,167.68,51.01,11.01
139,Pitimbu,75,BR,1591740425,94,-7.47,-34.81,77.0,4.7
140,Baker City,90,US,1591740154,52,44.77,-117.83,64.4,3.36
141,Hasaki,75,JP,1591740427,88,35.73,140.83,75.99,6.93
142,Santo Domingo,40,DO,1591740343,55,18.5,-69.99,89.6,9.17
143,Emirdağ,35,TR,1591740429,41,39.02,31.15,67.78,6.4
144,Loughrea,75,IE,1591740430,93,53.2,-8.57,53.6,8.05
145,Manzhouli,71,CN,1591740431,50,49.6,117.43,59.4,2.86
146,Kampong Thom,92,KH,1591740433,92,12.71,104.89,77.77,3.2
147,Morant Bay,75,JM,1591740434,88,17.88,-76.41,86.0,16.11
148,Berlevåg,88,NO,1591740435,67,70.86,29.09,42.03,14.41
149,Cartagena del Chairá,23,CO,1591740400,78,1.33,-74.84,82.76,1.83
150,Dingle,99,PH,1591740266,83,11.0,122.67,78.62,2.82
151,Yar-Sale,100,RU,1591740438,74,66.83,70.83,59.58,14.23
152,Arrondissement de Pontarlier,100,FR,1591740439,91,46.83,6.25,50.0,5.01
153,Colesberg,17,ZA,1591740440,45,-30.72,25.1,52.14,10.47
154,Geraldton,100,AU,1591740261,54,-28.77,114.6,53.6,14.99
155,Bjelovar,100,HR,1591740443,87,45.9,16.85,57.99,3.36
156,Beringovskiy,44,RU,1591740444,59,63.05,179.32,48.27,3.42
157,Nouadhibou,0,MR,1591740445,51,20.93,-17.03,84.2,20.8
158,Chokurdakh,100,RU,1591740446,76,70.63,147.92,38.62,12.26
159,Norman Wells,75,CA,1591740447,51,65.28,-126.83,60.8,19.46
160,Mount Gambier,36,AU,1591740448,90,-37.83,140.77,32.0,9.17
161,Petropavl,9,KZ,1591740449,70,54.88,69.16,64.29,4.56
162,Samarai,100,PG,1591740450,94,-10.62,150.67,77.29,13.24
163,Philadelphia,1,US,1591740426,40,39.95,-75.16,90.0,14.99
164,Anicuns,0,BR,1591740453,67,-16.46,-49.96,69.3,1.5
165,Atar,65,MR,1591740454,61,20.52,-13.05,82.49,17.4
166,Terney,100,RU,1591740455,88,45.05,136.61,63.81,3.89
167,Laguna,1,US,1591740240,14,38.42,-121.42,91.99,9.17
168,Taoudenni,70,ML,1591740254,23,22.68,-3.98,96.93,12.48
169,Toora-Khem,100,RU,1591740458,91,52.47,96.11,36.97,1.97
170,Basco,74,PH,1591740460,79,20.45,121.97,84.11,11.92
171,Nioro,46,GM,1591740461,62,13.35,-15.75,82.6,11.39
172,Wick,100,GB,1591740462,93,58.43,-3.08,50.0,2.24
173,Mar del Plata,0,AR,1591740233,57,-38.0,-57.56,54.0,2.24
174,Fare,17,PF,1591740464,76,-16.7,-151.02,79.41,16.6
175,Kruisfontein,69,ZA,1591740465,51,-34.0,24.73,61.99,7.45
176,Pobé,94,BJ,1591740466,95,6.98,2.66,73.35,4.92
177,Sawākin,0,SD,1591740467,33,19.11,37.33,89.51,5.23
178,Noumea,49,NC,1591740469,78,-22.28,166.46,73.99,4.7
179,Thompson,90,CA,1591740470,93,55.74,-97.86,51.8,10.29
180,Buta,52,CD,1591740471,89,2.79,24.73,70.74,0.34
181,Hay River,90,CA,1591740472,93,60.82,-115.8,41.0,4.7
182,Stykkisholmur,100,IS,1591740473,88,65.08,-22.73,43.61,1.01
183,Hailar,100,CN,1591740474,51,49.2,119.7,56.84,5.86
184,Garoowe,0,SO,1591740475,47,8.41,48.48,85.12,15.32
185,Touros,75,BR,1591740476,88,-5.2,-35.46,78.8,5.82
186,Ningbo,75,CN,1591740477,88,29.88,121.55,77.0,4.47
187,Naryan-Mar,100,RU,1591740478,85,67.67,53.09,54.68,13.76
188,Arraial do Cabo,40,BR,1591740480,88,-22.97,-42.03,73.4,9.17
189,Leningradskiy,52,RU,1591740481,41,69.38,178.42,60.85,8.52
190,Nan,99,TH,1591740482,95,18.83,100.67,72.99,0.67
191,De-Kastri,100,RU,1591740483,88,51.47,140.78,56.79,2.98
192,Narsaq,90,GL,1591740258,35,60.92,-46.05,57.2,25.28
193,Saint Paul Harbor,90,US,1591740485,81,57.79,-152.41,48.2,1.86
194,Lodja,0,CD,1591740486,60,-3.48,23.43,74.28,1.28
195,Asău,24,RO,1591740269,82,46.43,26.4,61.0,3.31
196,Izvestkovyy,1,RU,1591740488,49,48.98,131.55,63.95,9.08
197,Caribou,1,US,1591740489,24,46.86,-68.01,66.2,9.17
198,Shache,25,CN,1591740257,36,38.42,77.24,64.06,3.29
199,Clyde River,75,CA,1591740492,91,70.47,-68.59,35.6,17.22
200,Rabaul,62,PG,1591740493,76,-4.2,152.17,80.85,3.83
201,Sydney,75,AU,1591740494,100,-33.87,151.21,57.99,5.82
202,San Francisco,1,US,1591740202,30,37.77,-122.42,82.4,16.11
203,Langsa,100,ID,1591740496,94,4.47,97.97,76.51,1.97
204,Shingū,100,JP,1591740497,94,33.73,135.98,66.88,3.33
205,San Angelo,1,US,1591740331,6,31.46,-100.44,95.0,13.87
206,Kul'dur,0,RU,1591740500,50,49.22,131.63,62.8,10.36
207,Kholm-Zhirkovskiy,32,RU,1591740501,93,55.52,33.47,63.86,5.12
208,Avarua,62,CK,1591740475,69,-21.21,-159.78,78.8,14.99
209,Tiksi,98,RU,1591740259,93,71.69,128.87,30.25,10.33
210,Progreso,75,MX,1591740504,53,21.28,-89.67,99.0,12.75
211,Wakkanai,100,JP,1591740505,91,45.41,141.67,56.57,24.4
212,Saskylakh,4,RU,1591740506,69,71.92,114.08,40.23,6.04
213,Carnarvon,0,AU,1591740507,43,-24.87,113.63,67.59,6.35
214,Hobyo,0,SO,1591740257,69,5.35,48.53,80.2,23.49
215,Lompoc,1,US,1591740447,39,34.64,-120.46,84.0,17.22
216,Thinadhoo,99,MV,1591740511,75,0.53,72.93,83.52,9.33
217,Upernavik,86,GL,1591740264,91,72.79,-56.15,33.53,5.66
218,Tuku,100,TW,1591740513,88,23.68,120.39,82.0,4.59
219,Hamilton,20,US,1591740227,74,39.18,-84.53,84.99,11.41
220,Kayerkan,75,RU,1591740515,81,69.35,87.76,42.8,11.18
221,Esna,0,EG,1591740516,14,25.29,32.55,85.55,13.29
222,Margate,20,GB,1591740260,74,51.38,1.39,52.0,5.75
223,Nome,20,US,1591740519,49,64.5,-165.41,48.99,6.93
224,Cabo San Lucas,5,MX,1591740338,54,22.89,-109.91,80.01,11.41
225,Leh,0,IN,1591740521,47,34.17,77.58,49.87,5.48
226,Mahébourg,40,MU,1591740522,83,-20.41,57.7,69.8,14.99
227,Kosonsoy,13,UZ,1591740523,49,41.26,71.55,69.8,9.17
228,High Level,75,CA,1591740481,71,58.52,-117.14,53.6,4.7
229,Souillac,40,MU,1591740525,83,-20.52,57.52,69.8,14.99
230,Concordia,40,AR,1591740526,77,-31.39,-58.02,63.0,8.05
231,Cayenne,11,GF,1591740528,74,4.93,-52.33,82.4,4.7
232,Itarema,56,BR,1591740273,83,-2.92,-39.92,78.48,9.48
233,Oranjemund,0,NA,1591740530,89,-28.55,16.43,57.96,14.92
234,Ballitoville,0,ZA,1591740531,93,-29.54,31.21,51.8,2.24
235,Rio Grande,49,BR,1591740413,91,-32.03,-52.1,55.0,5.5
236,Chukhloma,55,RU,1591740533,91,58.75,42.68,59.65,4.56
237,Valle de Allende,16,MX,1591740534,19,26.93,-105.4,87.66,8.57
238,Phaltan,39,IN,1591740535,72,17.98,74.43,77.79,7.02
239,Harriston,1,CA,1591740537,43,43.9,-80.88,87.8,10.29
240,Tahoua,0,NE,1591740538,55,14.89,5.27,86.0,13.87
241,Seville,10,ES,1591740539,63,37.38,-5.98,71.6,3.36
242,Chui,100,UY,1591740540,89,-33.7,-53.46,54.59,1.92
243,Bongandanga,92,CD,1591740541,94,1.5,21.05,71.58,2.84
244,Severo-Kuril'sk,72,RU,1591740542,72,50.68,156.12,47.98,8.5
245,Los Llanos de Aridane,75,ES,1591740543,78,28.66,-17.92,71.6,9.17
246,Divnogorsk,40,RU,1591740544,100,55.96,92.36,41.0,6.71
247,Castro,84,BR,1591740546,95,-24.79,-50.01,62.73,6.4
248,Mosetse,0,BW,1591740547,50,-20.75,26.65,53.47,10.58
249,Aklavik,90,CA,1591740548,81,68.22,-135.01,44.6,10.29
250,Eirunepé,81,BR,1591740549,73,-6.66,-69.87,83.1,1.23
251,Mount Isa,0,AU,1591740550,71,-20.73,139.5,53.6,3.36
252,Marawi,97,PH,1591740551,84,8.0,124.29,77.0,4.0
253,Longyearbyen,75,SJ,1591740552,74,78.22,15.64,37.4,9.17
254,Sioux Lookout,75,CA,1591740554,82,50.1,-91.92,66.2,2.24
255,Lakhdenpokh'ya,96,RU,1591740555,94,61.52,30.2,56.93,6.02
256,Mashhad,0,IR,1591740545,28,36.3,59.61,68.0,4.7
257,Seddon,98,AU,1591740557,87,-37.81,144.89,46.4,10.29
258,Inuvik,90,CA,1591740558,71,68.35,-133.72,50.0,9.17
259,Américo Brasiliense,80,BR,1591740396,90,-21.72,-48.1,66.04,2.98
260,Ixtapa,5,MX,1591740560,69,20.7,-105.2,82.4,14.99
261,Halachó,75,MX,1591740561,53,20.48,-90.08,99.0,12.75
262,Buala,78,SB,1591740562,75,-8.14,159.59,84.16,7.65
263,Faya,40,SA,1591740564,43,18.39,42.45,73.4,6.26
264,Sibolga,77,ID,1591740565,75,1.74,98.78,77.56,3.62
265,Chimbote,22,PE,1591740566,74,-9.09,-78.58,66.83,8.57
266,São Filipe,21,CV,1591740567,86,14.9,-24.5,74.55,7.11
267,Puerto Ayacucho,75,VE,1591740568,78,5.66,-67.62,80.6,8.05
268,Polovinnoye,22,RU,1591740569,61,54.79,65.99,64.89,4.76
269,Esperance,34,AU,1591740570,57,-33.87,121.9,50.0,12.75
270,Arrondissement du Havre,48,FR,1591740572,81,49.58,0.33,51.8,3.36
271,Kingaroy,90,AU,1591740573,100,-26.53,151.83,55.99,5.82
272,Villamontes,90,BO,1591740423,57,-21.25,-63.5,77.0,1.39
273,Talaya,100,RU,1591740575,79,61.38,152.75,48.31,7.09
274,Nishihara,75,JP,1591740576,94,26.18,127.76,77.0,10.29
275,Rutul,0,RU,1591740577,46,41.54,47.42,73.4,11.41
276,Arica,75,CL,1591740578,77,-18.48,-70.3,66.2,9.17
277,Lagoa,100,PT,1591740579,83,39.05,-27.98,63.63,7.05
278,Lüderitz,26,NA,1591740581,91,-26.65,15.16,58.05,9.46
279,Mollendo,66,PE,1591740582,75,-17.02,-72.01,64.13,5.46
280,Petropavlovsk-Kamchatskiy,82,RU,1591740583,66,53.05,158.65,51.8,6.71
281,Eureka,71,US,1591740430,48,40.8,-124.16,72.0,5.01
282,Bodden Town,40,KY,1591740585,66,19.28,-81.25,87.8,4.7
283,Alekseyevsk,100,RU,1591740586,92,57.84,108.35,49.6,3.31
284,Parabel',100,RU,1591740587,59,58.7,81.48,53.02,6.22
285,Comodoro Rivadavia,12,AR,1591740555,41,-45.87,-67.5,57.2,31.09
286,Paracuru,4,BR,1591740589,77,-3.41,-39.03,79.0,1.99
287,Normandin,20,CA,1591740591,22,48.83,-72.53,69.8,4.7
288,Pisco,90,PE,1591740592,72,-13.7,-76.22,66.2,4.7
289,Roebourne,0,AU,1591740593,53,-20.78,117.13,69.66,8.08
290,Morristown,20,US,1591740594,51,36.21,-83.29,86.0,10.29
291,Paphos,0,CY,1591740595,88,34.77,32.42,66.2,5.82
292,Biltine,23,TD,1591740596,24,14.53,20.92,85.55,3.09
293,Tomatlán,4,MX,1591740597,58,19.93,-105.25,86.41,11.34
294,Can Tho,40,VN,1591740599,100,10.03,105.78,78.8,3.36
295,Kīhei,20,US,1591740571,52,20.79,-156.47,87.8,24.16
296,Chumikan,100,RU,1591740601,97,54.72,135.31,37.62,8.1
297,Portland,90,US,1591740602,82,45.52,-122.68,62.01,10.29
298,Cap Malheureux,3,MU,1591740603,78,-19.98,57.61,70.0,5.99
299,Port Macquarie,75,AU,1591740604,100,-31.43,152.92,60.8,4.7
300,Arman',100,RU,1591740605,77,59.7,150.17,48.25,1.83
301,Finschhafen,89,PG,1591740607,66,-6.6,147.87,81.84,6.22
302,Grand-Santi,98,GF,1591740608,86,4.25,-54.38,77.11,3.62
303,Cabedelo,75,BR,1591740609,94,-6.98,-34.83,77.0,4.7
304,Kalispell,90,US,1591740442,47,48.2,-114.31,59.0,11.41
305,Panórama,20,GR,1591740611,88,40.59,23.03,73.0,5.82
306,Presidencia Roque Sáenz Peña,83,AR,1591740612,80,-26.79,-60.44,71.01,1.99
307,Ilulissat,75,GL,1591740613,74,69.22,-51.1,37.4,5.82
308,Salinópolis,93,BR,1591740614,81,-0.61,-47.36,80.02,8.3
309,Bonthe,81,SL,1591740616,85,7.53,-12.51,79.03,6.96
310,Puerto Escondido,75,MX,1591740617,74,15.85,-97.07,87.8,10.29
311,Sørland,0,NO,1591740618,74,67.67,12.69,45.27,9.8
312,Midland,1,US,1591740494,6,32.0,-102.08,89.6,16.11
313,Ponta Delgada,20,PT,1591740620,77,37.73,-25.67,62.6,9.17
314,Santa Barbara,1,US,1591740349,10,34.42,-119.7,91.99,9.17
315,Zhigalovo,92,RU,1591740622,63,54.81,105.16,50.52,2.08
316,San Rafael,0,AR,1591740623,36,-34.62,-68.33,56.14,3.2
317,Port Keats,79,AU,1591740624,56,-14.25,129.55,67.73,8.93
318,East London,0,ZA,1591740626,30,-33.02,27.91,76.44,13.67
319,Sobolevo,64,RU,1591740627,88,54.43,31.9,65.12,5.06
320,Kamaishi,85,JP,1591740628,54,39.27,141.88,71.58,2.33
321,Răducăneni,15,RO,1591740629,77,46.95,27.93,68.0,5.82
322,Ahipara,22,NZ,1591740630,74,-35.17,173.17,58.96,11.07
323,Emerald,61,AU,1591740631,57,-23.53,148.17,51.8,6.93
324,Mattru,94,SL,1591740632,96,7.62,-11.83,75.04,2.48
325,Fairbanks,1,US,1591740634,49,64.84,-147.72,73.0,3.36
326,Dalbandin,0,PK,1591740635,15,28.89,64.41,83.59,8.32
327,Bengkulu,1,ID,1591740636,85,-3.8,102.27,75.63,3.47
328,Dhadar,2,IN,1591740637,29,28.33,75.06,95.32,8.12
329,Chara,64,RU,1591740638,57,56.91,118.26,50.11,7.18
330,Kholmogory,75,RU,1591740639,100,64.22,41.66,57.2,3.62
331,Daitari,58,IN,1591740640,85,21.1,85.75,79.2,1.12
332,Vila Velha,2,BR,1591740405,88,-20.33,-40.29,73.99,3.36
333,Dunedin,18,NZ,1591740642,61,-45.87,170.5,52.0,3.0
334,Iqaluit,90,CA,1591740644,74,63.75,-68.51,35.6,17.22
335,Trincomalee,100,LK,1591740363,76,8.57,81.23,82.69,19.95
336,Lima Duarte,2,BR,1591740646,86,-21.84,-43.79,64.31,2.57
337,Angoche,41,MZ,1591740647,80,-16.23,39.91,70.83,2.17
338,Puksoozero,95,RU,1591740648,98,62.59,40.61,62.73,3.29
339,Chicama,54,PE,1591740649,68,-7.84,-79.15,69.08,8.05
340,Laas,75,IT,1591740650,93,46.62,10.7,52.0,2.33
341,Rocha,100,UY,1591740651,87,-34.48,-54.33,51.75,3.89
342,Belmonte,20,BR,1591740419,83,-15.86,-38.88,75.2,6.93
343,Umeå,1,SE,1591740483,87,63.83,20.26,48.0,2.24
344,Cananéia,98,BR,1591740655,92,-25.01,-47.93,71.58,2.21
345,Taguatinga,0,BR,1591740656,53,-12.39,-46.57,76.55,4.9
346,Kuching,40,MY,1591740502,100,1.55,110.33,75.2,2.24
347,Kumluca,0,TR,1591740436,48,36.37,30.29,73.58,2.73
348,São Borja,98,BR,1591740659,95,-28.66,-56.0,61.83,10.36
349,Port Shepstone,0,ZA,1591740660,51,-30.74,30.45,63.3,7.09
350,Felanitx,0,ES,1591740661,77,39.47,3.15,62.01,6.06
351,Kyra,87,RU,1591740663,81,49.58,111.98,47.08,5.7
352,Vanavara,100,RU,1591740664,89,60.34,102.28,47.61,2.53
353,Sabang,100,ID,1591740665,74,5.89,95.32,83.17,10.29
354,Griffith,90,US,1591740580,74,41.53,-87.42,82.99,20.6
355,Lata,83,PT,1591740667,86,40.16,-8.33,60.01,1.99
356,Nyurba,77,RU,1591740668,88,63.28,118.33,53.19,9.82
357,Lacaron,100,PH,1591740669,73,6.45,125.58,79.52,4.83
358,Saint-François,75,FR,1591740670,71,46.42,3.91,57.2,6.93
359,São José de Ribamar,40,BR,1591740514,83,-2.56,-44.05,80.6,3.36
360,Dawlatabad,0,AF,1591740673,20,36.41,64.91,73.99,4.14
361,Santoña,20,ES,1591740674,82,43.44,-3.46,59.0,5.82
362,Djibo,84,BF,1591740675,31,14.1,-1.63,93.27,10.65
363,Baní,40,DO,1591740676,55,18.28,-70.33,89.6,9.17
364,Avera,40,US,1591740677,74,33.19,-82.53,89.6,9.17
365,Ossora,5,RU,1591740678,74,59.24,163.07,46.4,13.24
366,Marabu,75,MY,1591740679,88,4.41,114.01,80.6,3.36
367,Nadym,92,RU,1591740680,77,65.53,72.52,60.62,11.65
368,Monrovia,99,LR,1591740682,86,6.3,-10.8,79.27,8.41
369,Agidel,75,RU,1591740683,76,55.91,53.94,60.91,4.72
370,Vao,16,NC,1591740684,78,-22.67,167.48,72.39,25.3
371,Egvekinot,10,RU,1591740685,51,66.32,-179.17,54.68,3.09
372,Nyborg,1,DK,1591740686,76,55.31,10.79,57.0,3.36
373,Krasnosel'kup,82,RU,1591740687,90,65.7,82.47,49.91,6.08
